Date,Open,High,Low,Close,% change,Volume,TurnOver
2022-08-04,879.20,879.20,850.00,850.00,-1.39,37325.00,31873397.30
2022-08-03,880.00,883.00,859.10,862.00,-1.71,93835.00,80979081.60
2022-08-02,881.00,884.00,870.00,877.00,-0.56,27948.00,24482621.90
2022-08-01,894.90,897.50,880.00,881.90,0.10,47675.00,42185561.80
2022-07-31,879.00,882.00,871.00,881.00,1.28,52796.00,46248840.90
2022-07-29,866.00,880.00,865.00,869.90,0.45,17497.00,15221344.00
2022-07-28,880.00,880.00,865.00,866.00,0.00,43396.00,37704226.60
2022-07-27,866.00,870.00,853.00,866.00,0.00,43850.00,37915630.60
2022-07-26,895.00,895.00,865.50,866.00,-2.15,49899.00,43646056.30
2022-07-25,870.90,888.80,870.00,885.00,2.91,53131.00,46872526.10
2022-07-24,853.00,866.00,848.00,860.00,2.39,41717.00,35696123.10
2022-07-22,855.00,855.00,836.00,839.90,-1.77,26240.00,22132331.70
2022-07-21,847.00,859.80,841.00,855.00,1.18,36824.00,31458068.60
2022-07-20,847.20,850.00,836.00,845.00,0.84,32488.00,27422503.40
2022-07-19,844.90,845.00,832.00,838.00,0.72,48099.00,40446732.50
2022-07-18,832.00,837.00,825.00,832.00,0.24,29302.00,24374814.00
2022-07-17,828.00,835.00,821.00,830.00,0.73,28983.00,24017285.00
2022-07-15,829.90,829.90,817.00,824.00,0.86,22065.00,18088990.80
2022-07-14,826.00,841.20,808.50,817.00,0.74,54640.00,44809250.10
2022-07-13,800.00,812.00,798.00,811.00,1.77,59513.00,47959378.50
2022-07-12,796.00,804.90,787.00,796.90,0.62,42720.00,34006061.50
2022-07-11,831.00,831.00,792.00,792.00,-4.12,69864.00,55898125.10
2022-07-08,845.00,847.00,825.50,826.00,-2.25,30318.00,25208769.00
2022-07-07,864.00,886.00,844.00,845.00,-2.20,51271.00,43794878.60
2022-07-06,885.00,889.00,837.00,864.00,-0.92,58061.00,49581894.40
2022-07-05,895.00,900.00,860.10,872.00,-2.57,50999.00,45044516.30
2022-07-04,900.00,916.00,893.80,895.00,0.67,114314.00,103998073.90
