Date,Open,High,Low,Close,% change,Volume,TurnOver
2022-08-04,719.90,719.90,705.00,706.00,-1.26,58366.00,41331887.30
2022-08-03,720.20,725.00,715.00,715.00,-0.72,50858.00,36562734.20
2022-08-02,730.00,730.00,720.20,720.20,-0.25,44090.00,31879757.10
2022-08-01,730.00,730.00,721.00,722.00,-0.41,60754.00,44154399.80
2022-07-31,710.00,731.00,707.00,725.00,2.42,87775.00,63352657.30
2022-07-29,712.00,715.00,706.00,707.90,-0.16,30305.00,21491560.10
2022-07-28,719.90,719.90,705.10,709.00,-0.28,75111.00,53398498.30
2022-07-27,709.00,714.90,701.00,711.00,0.28,54808.00,38840191.10
2022-07-26,731.10,731.10,708.00,709.00,-3.01,102412.00,73394457.60
2022-07-25,733.00,734.50,728.00,731.00,0.97,101736.00,74412150.50
2022-07-24,713.00,724.90,706.00,724.00,1.54,86801.00,62181450.40
2022-07-22,724.00,724.90,712.00,713.00,-1.25,47223.00,33795047.50
2022-07-21,730.00,735.00,719.00,722.00,0.84,155068.00,112262850.60
2022-07-20,710.00,720.00,709.00,716.00,0.42,64499.00,46187074.60
2022-07-19,709.00,718.00,704.10,713.00,1.42,96528.00,68800235.50
2022-07-18,703.00,704.00,695.00,703.00,0.00,48670.00,34068291.00
2022-07-17,709.90,709.90,691.00,703.00,1.01,64978.00,45630844.10
2022-07-15,694.00,704.00,688.00,696.00,0.29,44293.00,30796694.20
2022-07-14,670.00,697.80,667.10,694.00,2.06,448553.00,301886738.50
2022-07-13,657.00,680.00,657.00,680.00,3.50,124370.00,83391813.90
2022-07-12,648.00,660.00,646.00,657.00,1.39,53503.00,35028276.30
2022-07-11,662.00,662.00,640.00,648.00,-2.99,134434.00,87145321.70
2022-07-08,685.00,687.00,664.30,668.00,-2.48,45733.00,30725228.80
2022-07-07,702.00,710.00,680.00,685.00,-0.58,38738.00,26611172.30
2022-07-06,690.00,693.00,676.20,689.00,-0.14,42283.00,29025276.90
2022-07-05,704.00,713.00,690.00,690.00,-1.99,50002.00,34827117.60
2022-07-04,720.00,734.00,699.00,704.00,-1.95,140168.00,100647859.20
2022-07-03,690.00,718.00,680.00,718.00,4.07,99723.00,68908574.20
2022-07-01,701.00,705.00,687.00,689.90,-1.26,65273.00,45132655.00
2022-06-30,682.00,698.70,680.00,698.70,2.90,51903.00,35835390.90
2022-06-29,675.00,680.00,664.00,679.00,0.97,21950.00,14830151.40
2022-06-28,665.10,679.00,665.10,672.50,-0.81,15590.00,10475976.60
2022-06-27,691.00,693.00,676.00,678.00,-1.17,46048.00,31489836.40
2022-06-26,672.00,686.00,662.00,686.00,4.10,75516.00,50874300.20
2022-06-24,648.00,670.00,634.00,659.00,0.93,31888.00,20757296.40
2022-06-23,670.00,670.00,646.50,652.90,-2.55,63783.00,41559492.70
2022-06-22,685.00,685.00,669.50,670.00,-2.19,36984.00,24938602.30
2022-06-21,680.00,693.60,670.30,685.00,1.57,46893.00,31847791.50
2022-06-20,680.00,680.00,671.10,674.40,-1.11,64703.00,43573844.60
2022-06-19,699.00,699.00,680.20,682.00,-1.87,47112.00,32414390.40
2022-06-17,700.00,705.00,690.00,695.00,-0.34,32624.00,22622428.40
2022-06-16,704.00,707.90,690.00,697.40,-0.94,51244.00,35723383.70
2022-06-15,717.20,717.20,691.90,704.00,0.11,63277.00,44133477.10
2022-06-14,706.00,710.00,701.00,703.20,-0.89,33384.00,23532141.30
2022-06-13,716.00,716.00,705.00,709.50,-0.91,34498.00,24507678.30
2022-06-10,730.30,730.30,700.00,716.00,0.00,42734.00,30241773.50
2022-06-09,720.00,731.70,715.00,716.00,-0.97,43462.00,31458526.30
2022-06-08,700.00,732.00,700.00,723.00,1.99,58996.00,42387230.90
2022-06-07,728.00,729.00,700.00,708.90,-2.49,86403.00,61188683.20
2022-06-06,744.00,746.00,724.00,727.00,-1.62,92806.00,67694641.60
